raw_timestamp,relative_to_unix_epoch_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_projected_to_left_view_x,gaze_projected_to_left_view_y,gaze_projected_to_right_view_x,gaze_projected_to_right_view_y,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_pupil_size,left_status,left_projected_x,left_projected_y,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_pupil_size,right_status,right_projected_x,right_projected_y,inter_pupillary_distance_in_mm,left_iris_diameter_in_mm,left_pupil_diameter_in_mm,left_pupil_iris_diameter_ratio,left_eye_openness,right_iris_diameter_in_mm,right_pupil_diameter_in_mm,right_pupil_iris_diameter_ratio,right_eye_openness
1000016115628349192,1726665392862461800,-4573008,1.249532,11894,0.984427,2,0.047251,0.227794,0.972562,0.000000,0.000000,0.000000,0.451399,0.406313,-0.356671,0.406586,0.074288,0.227418,0.970959,-0.033938,0.000000,0.000000,0.050955,2,0.445302,0.406313,0.020109,0.228002,0.973453,0.033938,0.000000,0.000000,0.050242,2,-0.350528,0.406586,68.000000,13.220894,3.537367,0.267559,0.986626,13.020530,3.498390,0.268683,0.999772
1000016115633353373,1726665392867466000,431173,2.000000,11895,1.000000,2,0.047460,0.227510,0.972619,0.000000,0.000000,0.000000,0.451583,0.405995,-0.356482,0.406267,0.073271,0.227154,0.971098,-0.033938,0.000000,0.000000,0.051020,2,0.444376,0.405995,0.021553,0.227714,0.973490,0.033938,0.000000,0.000000,0.050249,2,-0.349221,0.406267,68.000000,13.220894,3.541390,0.267863,0.986908,13.020530,3.500695,0.268860,0.999779
1000016115638354132,1726665392872466800,5431932,2.000000,11896,1.000000,2,0.048652,0.226501,0.972795,0.000000,0.000000,0.000000,0.452642,0.404871,-0.355404,0.405141,0.073406,0.226158,0.971321,-0.033938,0.000000,0.000000,0.051075,2,0.444483,0.404871,0.023808,0.226705,0.973672,0.033938,0.000000,0.000000,0.050334,2,-0.347184,0.405141,68.000000,13.220894,3.545448,0.268170,0.987262,13.020530,3.504525,0.269154,0.999786
1000016115643354886,1726665392877467500,10432686,2.000000,11897,1.000000,2,0.047131,0.227444,0.972650,0.000000,0.000000,0.000000,0.451285,0.405917,-0.356781,0.406189,0.072971,0.227090,0.971136,-0.033938,0.000000,0.000000,0.051149,2,0.444104,0.405917,0.021196,0.227646,0.973513,0.033938,0.000000,0.000000,0.050336,2,-0.349545,0.406189,68.000000,13.220894,3.550381,0.268543,0.987547,13.020530,3.507912,0.269414,0.999793
1000016115648355636,1726665392882468300,15433436,2.000000,11898,1.000000,2,0.046910,0.226297,0.972928,0.000000,0.000000,0.000000,0.451065,0.404619,-0.356984,0.404888,0.072140,0.225956,0.971463,-0.033938,0.000000,0.000000,0.051191,2,0.443333,0.404619,0.021590,0.226494,0.973773,0.033938,0.000000,0.000000,0.050332,2,-0.349193,0.404888,68.000000,13.220894,3.555875,0.268959,0.987587,13.020530,3.509883,0.269565,0.999799
1000016115653356383,1726665392887469000,20434183,2.000000,11899,1.000000,2,0.047321,0.225178,0.973168,0.000000,0.000000,0.000000,0.451417,0.403361,-0.356614,0.403628,0.072008,0.224845,0.971730,-0.033938,0.000000,0.000000,0.051245,2,0.443196,0.403361,0.022547,0.225373,0.974012,0.033938,0.000000,0.000000,0.050354,2,-0.348332,0.403628,68.000000,13.220894,3.560112,0.269279,0.987876,13.020530,3.511559,0.269694,0.999806
1000016115658357127,1726665392892469800,25434927,2.000000,11900,1.000000,2,0.046338,0.225086,0.973236,0.000000,0.000000,0.000000,0.450528,0.403246,-0.357506,0.403513,0.071514,0.224751,0.971788,-0.033938,0.000000,0.000000,0.051305,2,0.442748,0.403246,0.021072,0.225278,0.974067,0.033938,0.000000,0.000000,0.050389,2,-0.349668,0.403513,68.000000,13.220894,3.565586,0.269693,0.988028,13.020530,3.513034,0.269807,0.999812
1000016115663357868,1726665392897470500,30435668,1.292836,11901,1.000000,2,0.046056,0.225684,0.973111,0.000000,0.000000,0.000000,0.450284,0.403918,-0.357759,0.404185,0.072195,0.225334,0.971603,-0.033938,0.000000,0.000000,0.051473,2,0.443373,0.403918,0.019823,0.225880,0.973953,0.033938,0.000000,0.000000,0.050430,2,-0.350796,0.404185,68.000000,13.220894,3.582896,0.271003,0.988272,13.020530,3.515752,0.270016,0.999818
1000016115668358607,1726665392902471300,35436407,2.000000,11902,1.000000,2,0.045874,0.225570,0.973146,0.000000,0.000000,0.000000,0.450118,0.403786,-0.357925,0.404054,0.071169,0.225235,0.971702,-0.033938,0.000000,0.000000,0.051521,2,0.442442,0.403786,0.020491,0.225760,0.973967,0.033938,0.000000,0.000000,0.050456,2,-0.350192,0.404054,68.000000,13.220894,3.591342,0.271641,0.988440,13.020530,3.518088,0.270195,0.999823
1000016115673359343,1726665392907472000,40437143,2.000000,11903,1.000000,2,0.045608,0.225690,0.973131,0.000000,0.000000,0.000000,0.449880,0.403919,-0.358165,0.404187,0.070693,0.225360,0.971707,-0.033938,0.000000,0.000000,0.051569,2,0.442014,0.403919,0.020438,0.225878,0.973941,0.033938,0.000000,0.000000,0.050471,2,-0.350240,0.404187,68.000000,13.220894,3.595838,0.271981,0.988583,13.020530,3.520922,0.270413,0.999829
